AvgDialog_23852_Content_1,aiKS,avg章5新_AvgDialog_C_M.csv,8,AvgDialog,Content,,风暴眼,폭풍의 눈
AvgDialog_23852_Content_2,aiLW,avg章5新_AvgDialog_C_M.csv,9,AvgDialog,Content,？？？,守密人！别松开我的手！,수호자! 내 손을 놓지 마!
AvgDialog_23852_Content_3,aiMh,avg章5新_AvgDialog_C_M.csv,10,AvgDialog,Content,,鼻尖充斥着煤炭燃尽后的苦臭，手套在须臾的相接后，一方被重力狠狠拉向深渊。,코끝이 다 타버린 석탄의 악취로 가득 찬다. 그 순간 장갑 한 쪽이 미끄러지더니 중력을 따라 심연으로 빨려 들어갔다.
AvgDialog_23852_Content_4,aiMs,avg章5新_AvgDialog_C_M.csv,11,AvgDialog,Content,,熟悉的嗓音和那人身上的温度都在快速远去，与之相对，潮湿与寒冷逐渐侵蚀上了脊背。,"익숙한 목소리와 그 사람의 온기는 빠르게 멀어져가고, 그 대신 음산한 한기가 등줄기를 타고 서서히 스며든다."
AvgDialog_23852_Content_5,aiMD,avg章5新_AvgDialog_C_M.csv,12,AvgDialog,Content,？？？,守密人！,수호자!
AvgDialog_23852_Content_6,aiMO,avg章5新_AvgDialog_C_M.csv,13,AvgDialog,Content,玩家,刚刚那是…梦境吗？,방금 그건… 꿈이었나?
AvgDialog_23852_Content_7,aiMZ,avg章5新_AvgDialog_C_M.csv,14,AvgDialog,Content,玩家,天亮了吗……,날이 밝아오고 있어…
AvgDialog_23852_Content_8,aiNk,avg章5新_AvgDialog_C_M.csv,15,AvgDialog,Content,,"每一块骨骼都像被打碎重组，浑身泛着不合时宜的疲惫。
太阳穴刺痛，眼睛也干涩得如有针扎。","모든 뼈가 한 번 부서진 뒤 다시 조립된 듯했고, 온몸은 불시에 찾아온 피로감에 휩싸인다. 관자놀이가 욱신거리고, 눈이 바늘로 찌르는 듯이 뻑뻑했다."
AvgDialog_23852_Content_9,aiNv,avg章5新_AvgDialog_C_M.csv,16,AvgDialog,Content,,嗓子感觉像刚吞了一大口伍斯特酱汁，每次呼吸都带着令人窒息的阻塞与疼痛。,"목구멍은 우스터 소스를 한입 가득 삼킨 듯했고, 호흡할 때마다 질식할 것 같은 목멤과 고통이 느껴졌다."
AvgDialog_23852_Content_10,aiKT,avg章5新_AvgDialog_C_M.csv,17,AvgDialog,Content,玩家,睁眼，头痛，陌生的地点。,두통과 함께 눈을 뜬 곳은 낯선 장소였다.
AvgDialog_23852_Content_11,aiLe,avg章5新_AvgDialog_C_M.csv,18,AvgDialog,Content,玩家,这是第几次了？难道就没有更有新意些的开场了吗？,이런 시작만 도대체 몇 번째야? 좀 색다른 패턴은 없는 거야?
AvgDialog_23852_Content_12,aiLp,avg章5新_AvgDialog_C_M.csv,19,AvgDialog,Content,,你强撑着站了起来，未曾预料的景象猝然映入眼中。,"억지로 몸을 일으키자, 예상치 못한 광경이 눈앞에 펼쳐진다."
AvgDialog_23852_Content_13,aiLA,avg章5新_AvgDialog_C_M.csv,20,AvgDialog,Content,,巨大满月高悬夜空，缥缈雾霭笼罩海面，硝烟与海水的盐腥充斥鼻腔。,"거대한 보름달이 밤하늘에 높이 떠 있었고, 희미한 안개가 해수면을 뒤덮고 있었다. 화약 냄새와 바닷물의 짠 내음이 코를 찌른다."
AvgDialog_23852_Content_14,aiLL,avg章5新_AvgDialog_C_M.csv,21,AvgDialog,Content,,浪花相互推搡的声音轻柔而规律，托着船体舒缓飘荡，驶向未知的目的地。,부드럽고 규칙적인 파도 소리가 배를 흔들며 미지의 목적지로 향하고 있었다.
AvgDialog_23852_Content_15,aiLR,avg章5新_AvgDialog_C_M.csv,22,AvgDialog,Content,玩家,船上？！,배 위라고?!
AvgDialog_23852_Content_16,aiLS,avg章5新_AvgDialog_C_M.csv,23,AvgDialog,Content,,毫无疑问，你在一艘行至大海中央的轮船上。拉蒙娜不在你的身边，目之所及处也没有任何人存在的迹象。,"의심할 여지도 없이 당신은 망망대해를 가로지르는 여객선의 위에 있었다. 라모나는 곁에 없었고, 주변 그 어디에도 사람의 흔적은 찾아볼 수 없었다."
